date,week_day,hour,ticket_number,waiter,product_name,quantity,unitary_price,total
9/22/2024,Sunday,11:38,FCB 0003-000000599,51,Alfajor choc caja x12un,1,17500,17500
9/23/2024,Monday,10:02,FCB 0003-000000791,51,Alfajor Vegano x 9 un,1,22500,22500
9/24/2024,Tuesday,15:42,FCB 0003-000001247,51,ART. INEXISTENTE,1,100,100
10/3/2024,Thursday,9:35,FCB 0003-000003715,51,Alfajor Sin Azucar Suelto,1,2500,2500
10/3/2024,Thursday,9:35,FCB 0003-000003718,51,Alfajor choc blanco nuez x un,1,1900,1900
10/3/2024,Thursday,9:43,FCB 0003-000003721,51,Alfajor Super DDL x un,1,2500,2500
10/3/2024,Thursday,9:43,FCB 0003-000003721,51,Alfajor mixto caja x12un,1,18500,18500
10/3/2024,Thursday,9:43,FCB 0003-000003721,51,Alfajor Sin Azucar Suelto,1,2500,2500
10/3/2024,Thursday,9:43,FCB 0003-000003721,51,Galletita choc limon caja x12u,1,16000,16000
10/3/2024,Thursday,9:54,FCB 0003-000003723,51,Alfajor Sin Azucar x9 Un,1,22500,22500
10/3/2024,Thursday,10:08,FCB 0003-000003726,51,Alfajor Sin Azucar Suelto,2,2500,5000
10/3/2024,Thursday,10:16,FCB 0003-000003729,51,Alfajor Sin Azucar Suelto,4,2500,10000
10/3/2024,Thursday,10:24,FCB 0003-000003734,51,Alf. 150 aniv. Suelto,1,2500,2500
10/3/2024,Thursday,10:38,FCB 0003-000003737,51,Alfajor choc x un,2,1900,3800
10/3/2024,Thursday,10:40,FCB 0003-000003740,51,Conito mini choc x400g,1,18500,18500
10/3/2024,Thursday,10:54,FCB 0003-000003742,51,Alfajor choc x un,1,1900,1900
10/3/2024,Thursday,10:54,FCB 0003-000003742,51,Alfajor mixto caja x6un,2,9500,19000
10/3/2024,Thursday,10:54,FCB 0003-000003742,51,Alfajor choc caja x6un,1,9500,9500
10/3/2024,Thursday,10:57,FCB 0003-000003745,51,Alfajor mixto caja x12un,2,18500,37000
10/3/2024,Thursday,10:57,FCB 0003-000003745,51,Alfajor mini choc pouch x475g,1,20500,20500
10/3/2024,Thursday,10:57,FCB 0003-000003745,51,Alfajor Super DDL x 9 un,1,22500,22500
10/3/2024,Thursday,10:57,FCB 0003-000003745,51,Alfajor choc caja x12un,2,18500,37000
10/3/2024,Thursday,10:57,FCB 0003-000003745,51,Pouch x 475 grs. Mini Surtidos,1,20500,20500
10/3/2024,Thursday,11:02,FCB 0003-000003748,51,Alfajor Sin Azucar x9 Un,2,22500,45000
10/3/2024,Thursday,11:02,FCB 0003-000003748,51,Alfajor Sin Azucar Suelto,1,2500,2500
10/3/2024,Thursday,11:06,FCB 0003-000003750,51,Alfajor Sin Azucar Suelto,2,2500,5000
10/3/2024,Thursday,11:09,FCB 0003-000003753,51,Alfajor Super DDL x un,2,2500,5000
10/3/2024,Thursday,11:09,FCB 0003-000003753,51,Alf. 150 aniv. Suelto,2,2500,5000
10/3/2024,Thursday,11:09,FCB 0003-000003753,51,Alfajor Sin Azucar Suelto,2,2500,5000
10/3/2024,Thursday,11:59,FCB 0003-000003756,51,Dulce de leche vidrio x450g,2,5300,10600
10/3/2024,Thursday,11:59,FCB 0003-000003756,51,Alfajor Sin Azucar x9 Un,1,22500,22500
10/3/2024,Thursday,11:59,FCB 0003-000003756,51,Galletita choc limon caja x12u,1,16000,16000
10/3/2024,Thursday,11:59,FCB 0003-000003756,51,Conito 70 cacao caja x8un,1,16500,16500
10/3/2024,Thursday,11:59,FCB 0003-000003756,51,Galletita choc limon caja x12u,1,16000,16000
10/3/2024,Thursday,11:17,FCB 0003-000003758,51,Alfajor Sin Azucar Suelto,1,2500,2500
10/3/2024,Thursday,11:27,FCB 0003-000003761,51,Alfajor choc x un,1,1900,1900
10/3/2024,Thursday,11:27,FCB 0003-000003761,51,Alfajor Sin Azucar Suelto,1,2500,2500
10/3/2024,Thursday,11:27,FCB 0003-000003761,51,Conito coco y ddl suelto,1,1600,1600
10/3/2024,Thursday,11:30,FCB 0003-000003764,51,Coronita surtidas x 20 unidade,1,25000,25000
10/3/2024,Thursday,11:30,FCB 0003-000003764,51,Medallon choc limon pouch x200,1,8500,8500
10/3/2024,Thursday,11:30,FCB 0003-000003764,51,Pouch x 475 grs. Mini Surtidos,1,20500,20500
10/3/2024,Thursday,11:31,FCB 0003-000003767,51,Alfajor mixto caja x6un,2,9500,19000
10/3/2024,Thursday,11:32,FCB 0003-000003769,51,Alfajor Sin Azucar x9 Un,2,22500,45000
10/3/2024,Thursday,11:32,FCB 0003-000003769,51,Alfajor Sin Azucar Suelto,1,2500,2500
10/3/2024,Thursday,11:34,FCB 0003-000003772,51,Alf. 150 aniv. Suelto,1,2500,2500
10/3/2024,Thursday,11:36,FCB 0003-000003775,51,Alfajor mixto caja x12un,1,18500,18500
10/4/2024,Friday,10:46,FCB 0003-000004479,51,Alf. 150 aniv. X 8 unidades,2,20000,40000
10/4/2024,Friday,10:46,FCB 0003-000004479,51,Alfajor choc caja x12un,1,18500,18500
10/4/2024,Friday,10:47,FCB 0003-000004485,51,Alfajor Sin Azucar x9 Un,1,22500,22500
10/4/2024,Friday,11:28,FCB 0003-000004525,51,Conito 70 cacao x un,1,1900,1900
10/4/2024,Friday,11:28,FCB 0003-000004525,51,Conito choc blanco x un,1,1600,1600
10/4/2024,Friday,12:52,FCB 0003-000004590,51,Alfajor choc caja x12un,1,18500,18500
10/4/2024,Friday,12:53,FCB 0003-000004595,51,Alfajor mixto caja x6un,1,9500,9500
10/4/2024,Friday,12:53,FCB 0003-000004595,51,Alfajor choc caja x6un,1,9500,9500
10/4/2024,Friday,12:53,FCB 0003-000004595,51,Alf. 150 aniv. Suelto,1,2500,2500
10/4/2024,Friday,12:55,FCB 0003-000004598,51,Alfajor choc x un,2,1900,3800
10/4/2024,Friday,13:27,FCB 0003-000004636,51,Alfajor Sin Azucar Suelto,1,2500,2500
10/4/2024,Friday,13:28,FCB 0003-000004639,51,Alfajor Sin Azucar Suelto,2,2500,5000
10/4/2024,Friday,13:28,FCB 0003-000004641,51,Alfajor Sin Azucar Suelto,2,2500,5000
10/4/2024,Friday,13:30,FCB 0003-000004644,51,Conito coco y ddl x 6 un,1,8500,8500
10/4/2024,Friday,13:30,FCB 0003-000004644,51,Trufas 70% cacao lata x 200g,1,18000,18000
10/4/2024,Friday,13:31,FCB 0003-000004647,51,Coronitas choc tripack,1,2500,2500
10/4/2024,Friday,13:31,FCB 0003-000004647,51,Alf. 150 aniv. Suelto,1,2500,2500
10/4/2024,Friday,13:31,FCB 0003-000004647,51,Alfajor Sin Azucar Suelto,1,2500,2500
10/4/2024,Friday,13:31,FCB 0003-000004649,51,Alfajor Sin Azucar Suelto,1,2500,2500
10/4/2024,Friday,13:32,FCB 0003-000004652,51,Alfajor Sin Azucar Suelto,2,2500,5000
10/4/2024,Friday,13:34,FCB 0003-000004655,51,Alfajor choc blanco nuez x un,2,1900,3800
10/4/2024,Friday,13:34,FCB 0003-000004655,51,Alfajor choc blanco x un,1,1900,1900
10/4/2024,Friday,13:34,FCB 0003-000004655,51,Alfajor Sin Azucar Suelto,1,2500,2500
10/4/2024,Friday,13:35,FCB 0003-000004658,51,Alfajor Sin Azucar Suelto,1,2500,2500
10/4/2024,Friday,13:37,FCB 0003-000004660,51,Alfajor Sin Azucar Suelto,1,2500,2500
10/4/2024,Friday,13:40,FCB 0003-000004663,51,Alfajor Sin Azucar Suelto,2,2500,5000
10/4/2024,Friday,13:42,FCB 0003-000004666,51,Alf. 150 aniv. Suelto,2,2500,5000
10/4/2024,Friday,13:42,FCB 0003-000004666,51,Alfajor Sin Azucar Suelto,3,2500,7500
10/4/2024,Friday,13:44,FCB 0003-000004668,51,Alfajor choc x un,1,1900,1900
10/4/2024,Friday,13:44,FCB 0003-000004668,51,Barrita cereal choc blanco x u,1,1800,1800
10/4/2024,Friday,13:45,FCB 0003-000004671,51,Alfajor choc x un,1,1900,1900
10/4/2024,Friday,13:45,FCB 0003-000004671,51,Alfajor 70 cacao x un,1,2500,2500
10/4/2024,Friday,13:46,FCB 0003-000004674,51,Alfajor Sin Azucar Suelto,1,2500,2500
10/4/2024,Friday,13:46,FCB 0003-000004674,51,Alfajor 70 cacao x un,1,2500,2500
10/4/2024,Friday,13:46,FCB 0003-000004674,51,Alfajor choc blanco x un,1,1900,1900
10/4/2024,Friday,13:46,FCB 0003-000004674,51,Alfajor choc x un,1,1900,1900
10/4/2024,Friday,13:46,FCB 0003-000004674,51,Alfajor semilia 70 cacao x un,1,2500,2500
10/4/2024,Friday,13:46,FCB 0003-000004674,51,Alfajor Super DDL x un,1,2500,2500
10/4/2024,Friday,13:46,FCB 0003-000004674,51,Alfajor choc blanco nuez x un,1,1900,1900
10/4/2024,Friday,13:46,FCB 0003-000004674,51,Alfajor merengue x un,1,1900,1900
10/4/2024,Friday,13:48,FCB 0003-000004676,51,Conito coco y ddl suelto,1,1600,1600
10/4/2024,Friday,13:48,FCB 0003-000004676,51,Alfajor Sin Azucar Suelto,3,2500,7500
10/4/2024,Friday,13:50,FCB 0003-000004679,51,Coronita 70% x 10 unidades,1,14000,14000
10/4/2024,Friday,13:51,FCB 0003-000004682,51,Alf. 150 aniv. Suelto,4,2500,10000
10/4/2024,Friday,13:51,FCB 0003-000004682,51,Conito coco y ddl suelto,1,1600,1600
10/4/2024,Friday,13:52,FCB 0003-000004685,51,Alfajor 70 cacao x un,3,2500,7500
10/4/2024,Friday,13:52,FCB 0003-000004685,51,Alfajor choc blanco x un,1,1900,1900
10/4/2024,Friday,13:55,FCB 0003-000004687,51,Alfajor Super DDL x un,1,2500,2500
10/4/2024,Friday,13:56,FCB 0003-000004690,51,Alfajor Sin Azucar Suelto,1,2500,2500
10/4/2024,Friday,13:57,FCB 0003-000004693,51,Alfajor Sin Azucar Suelto,2,2500,5000
10/4/2024,Friday,14:02,FCB 0003-000004695,51,Alfajor Sin Azucar Suelto,2,2500,5000
10/4/2024,Friday,14:02,FCB 0003-000004695,51,Alf. 150 aniv. Suelto,2,2500,5000
10/4/2024,Friday,14:02,FCB 0003-000004698,51,Alfajor Sin Azucar Suelto,1,2500,2500
10/4/2024,Friday,14:04,FCB 0003-000004701,51,Alfajor Sin Azucar Suelto,2,2500,5000
10/4/2024,Friday,14:04,FCB 0003-000004701,51,Galletita limon x un,1,1200,1200
10/4/2024,Friday,14:05,FCB 0003-000004703,51,Alfajor Sin Azucar Suelto,2,2500,5000
10/4/2024,Friday,14:07,FCB 0003-000004706,51,Pouch x 475 grs. Mini Surtidos,1,20500,20500
10/4/2024,Friday,14:07,FCB 0003-000004706,51,Conito 70 cacao x un,3,1900,5700
10/4/2024,Friday,14:07,FCB 0003-000004706,51,Conito choc x un,3,1600,4800
10/4/2024,Friday,14:07,FCB 0003-000004706,51,Conito coco y ddl suelto,3,1600,4800
10/4/2024,Friday,14:07,FCB 0003-000004706,51,Conito choc blanco x un,3,1600,4800
10/4/2024,Friday,14:07,FCB 0003-000004706,51,Alfajor Sin Azucar Suelto,1,2500,2500
10/4/2024,Friday,14:08,FCB 0003-000004709,51,Alfajor Sin Azucar Suelto,1,2500,2500
10/4/2024,Friday,14:08,FCB 0003-000004709,51,Conito 70 cacao x un,1,1900,1900
10/4/2024,Friday,14:08,FCB 0003-000004709,51,Alfajor Super DDL x un,1,2500,2500
10/4/2024,Friday,14:10,FCB 0003-000004712,51,Alfajor Sin Azucar Suelto,2,2500,5000
10/4/2024,Friday,14:10,FCB 0003-000004712,51,Alf. 150 aniv. Suelto,1,2500,2500
10/4/2024,Friday,14:11,FCB 0003-000004714,51,Alfajor Sin Azucar Suelto,2,2500,5000
10/4/2024,Friday,14:11,FCB 0003-000004714,51,Alfajor Sin Azucar x9 Un,1,22500,22500
10/4/2024,Friday,14:12,FCB 0003-000004717,51,Alfajor Sin Azucar Suelto,2,2500,5000
10/4/2024,Friday,14:13,FCB 0003-000004720,51,Conito choc x un,2,1600,3200
10/4/2024,Friday,14:13,FCB 0003-000004722,51,Alfajor Sin Azucar Suelto,2,2500,5000
10/4/2024,Friday,14:13,FCB 0003-000004722,51,Conito coco y ddl suelto,2,1600,3200
10/4/2024,Friday,14:14,FCB 0003-000004725,51,Conito coco y ddl suelto,1,1600,1600
10/4/2024,Friday,14:15,FCB 0003-000004728,51,Alf. 150 aniv. Suelto,2,2500,5000
10/4/2024,Friday,14:15,FCB 0003-000004728,51,Alfajor Sin Azucar Suelto,1,2500,2500
10/4/2024,Friday,14:15,FCB 0003-000004730,51,Alfajor Sin Azucar Suelto,1,2500,2500
10/4/2024,Friday,14:18,FCB 0003-000004736,51,Galletita mini choc limon pouc,1,20000,20000
10/4/2024,Friday,14:18,FCB 0003-000004736,51,Conito choc caja x12un,1,16500,16500
10/4/2024,Friday,14:18,FCB 0003-000004736,51,Alfajor mixto caja x12un,1,18500,18500
10/4/2024,Friday,14:18,FCB 0003-000004736,51,Galletita limon x un,2,1200,2400
10/4/2024,Friday,14:18,FCB 0003-000004736,51,Pouch x 475 grs. Mini Surtidos,1,20500,20500
10/4/2024,Friday,14:26,FCB 0003-000004757,51,Alfajor 70 cacao x un,1,2500,2500
10/4/2024,Friday,14:28,FCB 0003-000004763,51,Alfajor surtido caja x6un,1,9500,9500
10/4/2024,Friday,14:28,FCB 0003-000004763,51,Alfajor 70 cacao caja x9un,1,22500,22500
10/4/2024,Friday,14:28,FCB 0003-000004763,51,Alf. 150 aniv. X 8 unidades,1,20000,20000
10/4/2024,Friday,14:28,FCB 0003-000004763,51,Alfajor choc blanco nuez x un,6,0,0
10/4/2024,Friday,14:28,FCB 0003-000004763,51,Alfajor semilia 70 cacao caja,1,22500,22500
10/4/2024,Friday,14:28,FCB 0003-000004763,51,Alfajor choc caja x12un,1,18500,18500
10/4/2024,Friday,14:29,FCB 0003-000004768,51,Alfajor Sin Azucar Suelto,1,2500,2500
10/4/2024,Friday,14:30,FCB 0003-000004774,51,Alfajor Super DDL x un,1,2500,2500
10/4/2024,Friday,14:30,FCB 0003-000004774,51,Alfajor Sin Azucar Suelto,2,2500,5000
10/4/2024,Friday,14:31,FCB 0003-000004779,51,Alfajor mini choc pouch x125g,3,6300,18900
10/4/2024,Friday,14:32,FCB 0003-000004782,51,Alfajor Sin Azucar Suelto,1,2500,2500
10/4/2024,Friday,14:33,FCB 0003-000004784,51,Alf. 150 aniv. Suelto,1,2500,2500
10/4/2024,Friday,14:35,FCB 0003-000004790,51,Alfajor Sin Azucar Suelto,3,2500,7500
10/4/2024,Friday,14:37,FCB 0003-000004793,51,Alfajor Sin Azucar Suelto,1,2500,2500
10/4/2024,Friday,14:44,FCB 0003-000004795,51,Alfajor choc x un,1,1900,1900
10/6/2024,Sunday,11:33,FCB 0003-000005729,51,Alfajor Sin Azucar Suelto,1,2500,2500
10/6/2024,Sunday,11:33,FCB 0003-000005729,51,Alfajor choc blanco nuez x un,2,1900,3800
10/6/2024,Sunday,11:33,FCB 0003-000005729,51,Alf. 150 aniv. Suelto,1,2500,2500
10/6/2024,Sunday,13:26,FCB 0003-000005789,51,Coronita 70% x 10 unidades,1,14000,14000
10/6/2024,Sunday,13:26,FCB 0003-000005789,51,Alfajor choc caja x6un,1,9500,9500
10/6/2024,Sunday,13:27,FCB 0003-000005792,51,Conito choc caja x6un,1,8500,8500
10/6/2024,Sunday,13:27,FCB 0003-000005792,51,Alfajor choc caja x12un,1,18500,18500
10/6/2024,Sunday,13:50,FCB 0003-000005800,51,Alfajor mixto caja x12un,1,18500,18500
10/6/2024,Sunday,13:50,FCB 0003-000005800,51,Alfajor semilia 70 cacao caja,1,22500,22500
10/6/2024,Sunday,13:50,FCB 0003-000005800,51,Alfajor 70 cacao caja x9un,1,22500,22500
10/6/2024,Sunday,14:05,FCB 0003-000005816,51,Alfajor Sin Azucar Suelto,2,2500,5000
10/6/2024,Sunday,14:08,FCB 0003-000005821,51,Alf. 150 aniv. Suelto,2,2500,5000
10/6/2024,Sunday,14:08,FCB 0003-000005821,51,Alfajor Sin Azucar Suelto,4,2500,10000
10/6/2024,Sunday,14:09,FCB 0003-000005827,51,Conito coco y ddl suelto,1,1600,1600
10/6/2024,Sunday,14:21,FCB 0003-000005832,51,Alfajor choc caja x12un,1,18500,18500
10/6/2024,Sunday,14:27,FCB 0003-000005835,51,Alfajor Sin Azucar Suelto,1,2500,2500
10/6/2024,Sunday,14:31,FCB 0003-000005837,51,Alfajor choc x un,1,1900,1900
10/6/2024,Sunday,14:31,FCB 0003-000005837,51,Alfajor Super DDL x un,1,2500,2500
10/6/2024,Sunday,14:37,FCB 0003-000005840,51,Conito coco y ddl x 6 un,1,8500,8500
10/6/2024,Sunday,14:37,FCB 0003-000005840,51,Alfajor Sin Azucar Suelto,1,2500,2500
10/6/2024,Sunday,14:43,FCB 0003-000005843,51,Alfajor choc x un,2,1900,3800
10/6/2024,Sunday,14:49,FCB 0003-000005846,51,Alfajor Sin Azucar Suelto,4,2500,10000
10/6/2024,Sunday,14:50,FCB 0003-000005848,51,Alfajor mixto caja x6un,1,9500,9500
10/6/2024,Sunday,14:50,FCB 0003-000005848,51,Alfajor choc x un,1,1900,1900
10/6/2024,Sunday,14:50,FCB 0003-000005848,51,Alfajor semilia 70 cacao x un,4,2500,10000
10/6/2024,Sunday,14:50,FCB 0003-000005848,51,Alfajor 70 cacao x un,2,2500,5000
10/6/2024,Sunday,14:50,FCB 0003-000005848,51,Alfajor choc blanco nuez x un,1,1900,1900
10/6/2024,Sunday,14:50,FCB 0003-000005848,51,Alfajor Sin Azucar Suelto,6,2500,15000
10/6/2024,Sunday,14:50,FCB 0003-000005848,51,Alfajor Super DDL x un,4,2500,10000
10/6/2024,Sunday,14:53,FCB 0003-000005854,51,Conito mini choc x400g,1,18500,18500
10/6/2024,Sunday,14:53,FCB 0003-000005854,51,Alfajor mini choc blanco pouch,1,6300,6300
10/6/2024,Sunday,14:53,FCB 0003-000005854,51,Alfajor Sin Azucar Suelto,1,2500,2500
10/6/2024,Sunday,14:53,FCB 0003-000005854,51,Alfajor mini choc blanco pouch,1,6300,6300
10/6/2024,Sunday,14:53,FCB 0003-000005854,51,Conito choc blanco x un,1,1600,1600
10/6/2024,Sunday,14:53,FCB 0003-000005854,51,Alf. 150 aniv. X 8 unidades,2,20000,40000
10/6/2024,Sunday,14:55,FCB 0003-000005856,51,Tableta choco 70% con almendra,1,7000,7000
10/6/2024,Sunday,14:55,FCB 0003-000005856,51,Alfajor choc caja x6un,1,9500,9500
10/6/2024,Sunday,14:56,FCB 0003-000005859,51,Alfajor Sin Azucar Suelto,2,2500,5000
10/6/2024,Sunday,15:02,FCB 0003-000005867,51,Alfajor Sin Azucar Suelto,2,2500,5000
10/6/2024,Sunday,15:02,FCB 0003-000005867,51,Alfajor merengue x un,1,0,0
10/6/2024,Sunday,15:02,FCB 0003-000005867,51,Alfajor choc x un,1,0,0
10/6/2024,Sunday,15:02,FCB 0003-000005867,51,Alfajor choc blanco x un,1,0,0
10/6/2024,Sunday,15:02,FCB 0003-000005867,51,Alfajor surtido caja x6un,1,9500,9500
10/6/2024,Sunday,15:02,FCB 0003-000005867,51,Alf. 150 aniv. Suelto,6,2500,15000
10/6/2024,Sunday,15:02,FCB 0003-000005867,51,Alfajor merengue x un,1,0,0
10/6/2024,Sunday,15:02,FCB 0003-000005867,51,Alfajor choc x un,1,0,0
10/6/2024,Sunday,15:02,FCB 0003-000005867,51,Alfajor choc blanco x un,1,0,0
10/6/2024,Sunday,15:04,FCB 0003-000005873,51,Alf. 150 aniv. Suelto,1,2500,2500
10/6/2024,Sunday,15:04,FCB 0003-000005873,51,Alfajor mixto caja x12un,1,18500,18500
10/6/2024,Sunday,15:18,FCB 0003-000005889,51,Coronitas choc tripack,1,2500,2500
10/6/2024,Sunday,15:18,FCB 0003-000005889,51,Alf. 150 aniv. Suelto,1,2500,2500
10/6/2024,Sunday,17:34,FCB 0003-000005975,51,Alfajor Sin Azucar Suelto,2,2500,5000
10/6/2024,Sunday,17:34,FCB 0003-000005975,51,Conito mini choc x400g,1,18500,18500
10/6/2024,Sunday,18:11,FCB 0003-000006053,51,Alf. 150 aniv. X 8 unidades,4,20000,80000
10/6/2024,Sunday,18:12,FCB 0003-000006056,51,Alfajor choc caja x12un,1,18500,18500
10/6/2024,Sunday,18:12,FCB 0003-000006056,51,Alfajor mixto caja x12un,1,18500,18500
10/6/2024,Sunday,18:13,FCB 0003-000006059,51,Alfajor mixto caja x6un,1,9500,9500
10/6/2024,Sunday,18:19,FCB 0003-000006062,51,Alfajor choc caja x12un,1,18500,18500
10/6/2024,Sunday,18:29,FCB 0003-000006078,51,Alfajor Sin Azucar Suelto,6,2500,15000
10/6/2024,Sunday,18:31,FCB 0003-000006083,51,Galletita choc limon x un,4,1600,6400
10/6/2024,Sunday,18:31,FCB 0003-000006083,51,Alfajor choc blanco nuez x un,1,1900,1900
10/6/2024,Sunday,18:33,FCB 0003-000006086,51,Alfajor Sin Azucar Suelto,2,2500,5000
10/8/2024,Tuesday,11:28,FCB 0003-000006653,51,Alf. 150 aniv. Suelto,2,2500,5000
10/8/2024,Tuesday,11:28,FCB 0003-000006653,51,Alfajor choc caja x6un,1,9500,9500
10/8/2024,Tuesday,11:28,FCB 0003-000006653,51,Tableta choco 70% con almendra,1,7000,7000
10/8/2024,Tuesday,11:28,FCB 0003-000006653,51,Conito mini choc x400g,1,18500,18500
10/8/2024,Tuesday,11:28,FCB 0003-000006653,51,Alfajor mixto caja x6un,2,9500,19000
10/8/2024,Tuesday,13:23,FCB 0003-000006699,51,Alfajor mini choc pouch x125g,2,6300,12600
10/8/2024,Tuesday,13:26,FCB 0003-000006701,51,Alfajor choc caja x6un,1,9500,9500
